offered_load,throughput_ops_s,baseline_p999_us,overlap_p999_us,fsync_p999_us
0.000050,100.0,4.5000,4.5000,12108.7890
0.000062,123.4,4.5000,4.5000,14247.9947
0.000076,152.2,4.5000,4.5000,17010.4340
0.000094,187.8,4.5000,4.5000,22037.8948
0.000116,231.7,4.5000,4.5000,33506.7799
0.000143,285.9,4.5000,4.5000,90841.7485
0.000176,352.7,4.5000,4.5000,20087742.0285
0.000218,435.1,4.5000,4.5000,84294322.9256
0.000268,536.8,4.5000,4.5000,136471596.7651
0.000331,662.3,4.5000,4.5000,178766220.9327
0.000409,817.1,4.5000,4.5000,213047368.0682
0.000504,1008.2,4.5000,4.5000,240833335.4826
0.000622,1243.8,4.5000,4.5000,263354751.7615
0.000767,1534.6,4.5000,4.5000,281609080.7773
0.000947,1893.3,4.5000,4.5000,296404798.9369
0.001168,2335.9,4.5457,4.5457,308397202.2550
0.001441,2881.9,4.6317,4.6317,318117429.1337
0.001778,3555.6,4.7015,4.7015,325995984.2545
0.002193,4386.7,4.7581,4.7581,332381805.4463
0.002706,5412.1,4.8039,4.8039,337557717.9924
0.003339,6677.2,4.8411,4.8411,341752960.8405
0.004119,8238.1,4.8712,4.8712,345153339.4979
0.005082,10163.8,4.8956,4.8956,347909455.2778
0.006270,12539.7,4.9154,4.9154,350143375.3665
0.007735,15470.9,4.9321,4.9321,351954039.1271
0.009544,19087.3,4.9450,4.9450,353421640.0815
0.011775,23549.2,4.9590,4.9590,354611177.6466
0.014527,29054.0,4.9689,4.9689,355575335.9314
0.017923,35845.5,4.9766,4.9766,356356817.0930
0.022112,44224.7,4.9833,4.9833,356990232.5971
0.027281,54562.6,4.9883,4.9883,357503636.1446
0.033658,67317.0,4.9939,4.9939,357919766.1588
0.041526,83052.8,4.9997,4.9997,358257052.8595
0.051234,102467.0,5.0907,5.0907,358530434.5302
0.063210,126419.5,5.1823,5.1823,358752019.1277
0.077985,155971.0,5.2500,5.2500,358931620.5391
0.096215,192430.4,5.3144,5.3144,359077193.2337
0.118706,237412.4,5.3814,5.3814,359195184.5638
0.146455,292909.4,5.4488,5.4488,359290820.3149
0.180690,361379.2,5.5844,5.5844,359368336.1533
0.222927,445854.3,5.7292,5.7292,359431165.2224
0.275038,550076.1,5.9159,5.9159,359482090.1946
0.339330,678660.6,6.2161,6.2161,359523366.5152
0.418651,837302.6,6.6097,6.6097,359556822.2947
0.516514,1033028.4,7.2147,7.2147,359583939.2752
0.637253,1274506.6,8.5955,8.5955,359605918.4561
0.786216,1572432.1,12.1780,12.1780,359623733.2860
0.970000,1940000.0,50.2324,50.2324,359638172.7761
