live_rate_ops_us,plain_us,backpressure_us,replay_rate
0.200,874.4,788.1,4
0.332,995.8,844.6,4
0.464,1126.3,903.2,4
0.597,1267.0,963.9,4
0.729,1419.0,1026.7,4
0.861,1583.8,1091.9,4
0.993,1763.0,1159.6,4
1.125,1958.8,1229.9,4
1.258,2173.5,1302.9,4
1.390,2409.9,1378.8,4
1.522,2671.5,1457.9,4
1.654,2962.6,1540.2,4
1.786,3288.5,1626.0,4
1.919,3655.8,1715.6,4
2.051,4073.0,1809.1,4
2.183,4550.8,1906.9,4
2.315,5103.6,2009.3,4
2.447,5750.5,2116.5,4
2.580,6517.9,2229.0,4
2.712,7442.8,2347.0,4
2.844,8579.3,2471.2,4
2.976,10009.3,2601.8,4
3.108,11863.4,2739.5,4
3.241,14363.1,2884.9,4
3.373,17916.8,3038.6,4
3.505,23369.0,3201.3,4
3.637,32795.7,3373.9,4
3.769,53035.4,3557.3,4
3.902,127712.9,3752.5,4
4.034,,3960.7,4
4.166,,4183.3,4
4.298,,4421.8,4
4.431,,4677.9,4
4.563,,4953.7,4
4.695,,5251.6,4
4.827,,5574.4,4
4.959,,5925.2,4
5.092,,6307.9,4
5.224,,6727.0,4
5.356,,7188.1,4
5.488,,7697.6,4
5.620,,8263.8,4
5.753,,8896.6,4
5.885,,9608.6,4
6.017,,10415.4,4
6.149,,11337.5,4
6.281,,12401.5,4
6.414,,13642.8,4
6.546,,15109.7,4
6.678,,16870.1,4
6.810,,19021.7,4
6.942,,21711.1,4
7.075,,25169.0,4
7.207,,29779.5,4
7.339,,36234.2,4
7.471,,45916.3,4
7.603,,62053.0,4
7.736,,94326.5,4
7.868,,191147.0,4
8.000,,,4
